Category,Length,Views,Rate
Entertainment,107,260700,3.92
Travel & Events,1321,960,4.85
Entertainment,220,383061,3.39
Sports,44,593847,4.47
Sports,77,243623,4.3
News & Politics,48,179157,3.83
Sports,76,266211,4.54
Entertainment,425,175131,4.76
News & Politics,63,147156,4.24
News & Politics,466,146648,4.71
Entertainment,53,86656,1.79
Comedy,86,79613,3.16
Entertainment,536,85701,4.81
Education,27,73937,4
Sports,287,287820,4.6
Music,218,530846,4.68
Music,184,541808,4.57
Entertainment,102,58659,4.5
News & Politics,1301,74264,4.87
Entertainment,50,19409,4.65
Howto & Style,478,1238,4.97
Sports,270,4098,4.91
Music,163,12531,4.93
Sports,91,47578,4.89
Entertainment,15,10917,4.88
Entertainment,97,13850,5
Entertainment,93,260713,4.84
Music,333,293470,4.79
Entertainment,427,8370,4.81
People & Blogs,170,10339,4.88
People & Blogs,225,5688,4.75
Entertainment,3542,2764,4.93
Entertainment,170,6303,4.71
Film & Animation,74,221579,1.76
Music,94,617391,4.78
Comedy,354,53401,4.73
Entertainment,345,63320,4.47
Entertainment,293,88575,4.79
Entertainment,7,213,2.5
Comedy,12,238,0
Comedy,239,221,0
Music,119,213,1
Science & Technology,76,213,0
Entertainment,145,221,0
Entertainment,31,201,0
Comedy,193,210,0
People & Blogs,69,212,0
Music,289,220,0
Music,229,58,0
Film & Animation,202,45,5
Science & Technology,32,56,0
People & Blogs,61,29,0
Music,112,72,0
Entertainment,282,76,0
Entertainment,6,13,0
Comedy,62,0,0
People & Blogs,7,2,0
Film & Animation,481,15,0
Music,209,0,0
Education,246,0,0
People & Blogs,28,0,0
Music,372,12,0
Film & Animation,60,0,0
Entertainment,23,0,0
Entertainment,99,0,0
Music,175,1,0
Howto & Style,153,0,0
Comedy,72,0,0
Travel & Events,249,0,0
Autos & Vehicles,75,0,0
Comedy,10,2,0
Sports,16,0,0
Pets & Animals,240,1,0
Entertainment,468,0,0
Entertainment,87,2,0
Entertainment,68,0,0
Sports,267,0,0
Music,254,1,0
Film & Animation,65,7,5
Entertainment,52,179,0
Comedy,6,17,0
Comedy,40,35,4.33
Comedy,42,12,0
Sports,443,10,0
Sports,140,14,0
Music,135,16,0
Comedy,100,7,0
Comedy,83,0,0
Pets & Animals,87,0,0
Pets & Animals,71,18,0
Music,269,5,0
Music,203,15,0
Music,399,0,0
Film & Animation,59,51,0
Entertainment,540,50,5
Comedy,55,0,0
Comedy,101,14,1
Comedy,307,23,0
Comedy,15,0,0
Comedy,209,0,0
People & Blogs,243,1,0
Howto & Style,358,2,0
Entertainment,305,0,0
People & Blogs,17,0,0
People & Blogs,15,0,0
People & Blogs,16,0,0
People & Blogs,219,1,0
Music,284,0,0
Entertainment,105,1,0
Entertainment,275,0,0
Comedy,25,0,0
Comedy,13,1,0
People & Blogs,310,0,0
Education,179,2,0
Music,165,2,0
Music,64,1,0
Entertainment,368,2,0
Entertainment,639,1,0
Entertainment,275,0,0
Entertainment,146,0,0
Entertainment,62,0,0
Comedy,418,0,0
Travel & Events,438,0,0
Music,283,0,0
Music,107,0,0
Music,214,0,0
Entertainment,132,0,0
Music,146,0,0
Film & Animation,45,3,0
Entertainment,217,67,0
Entertainment,121,0,0
Comedy,15,0,0
People & Blogs,19,0,0
People & Blogs,258,0,0
Music,28,3,0
People & Blogs,74,0,0
Sports,58,1,0
News & Politics,90,222853,3.27
People & Blogs,234,79499,4.92
People & Blogs,34,42507,2.95
Comedy,163,301722,4.27
Comedy,180,47396,4.25
Entertainment,341,26000,4.86
People & Blogs,515,154005,4.44
Comedy,21,31135,3.31
Comedy,210,419489,4.63
Comedy,181,30687,4.45
Entertainment,326,27292,4.81
Howto & Style,82,2872,3
News & Politics,41,42269,3.8
News & Politics,46,80648,4.46
Entertainment,318,160568,4.77
Entertainment,114,20616,2.67
Sports,612,2333,4.17
People & Blogs,116,31074,4.8
News & Politics,338,43025,3.07
Entertainment,197,46496,4.56
News & Politics,263,949914,2.46
Comedy,389,563689,4.8
People & Blogs,539,326,2.6
Comedy,19,776036,4.02
Comedy,182,387,4.08
Film & Animation,632,4447,3
Science & Technology,74,285342,4.51
Sports,84,268192,4.21
People & Blogs,79,159350,4.63
People & Blogs,340,204,4.2
Entertainment,315,14014,4.87
People & Blogs,311,220340,4.7
Entertainment,312,182650,4.78
Sports,65,165271,4.77
Comedy,219,121137,4.71
Entertainment,73,78642,3.06
Music,191,78059,2.51
Entertainment,75,96002,3.75
Sports,85,78141,4.8
Entertainment,388,70232,4.6
Howto & Style,151,70162,3.75
Film & Animation,300,68551,4.82
Autos & Vehicles,16,22984,1.53
Sports,95,64103,4.48
Entertainment,134,139649,4.09
Entertainment,141,2236,4.98
Entertainment,395,20348,4.95
Entertainment,386,74090,4.85
Music,274,4479,4.94
Comedy,112,5484,4.78
People & Blogs,1365,8135,4.82
Music,222,25761,4.3
Entertainment,541,21551,4.8
Sports,22,61826,4.83
Entertainment,207,20631,4.88
Entertainment,208,69857,4.89
Sports,95,2338960,4.76
People & Blogs,443,9088,4.56
Entertainment,103,42605,4.64
People & Blogs,339,11615,4.9
Comedy,114,10407,4.84
Comedy,192,8106,4.72
Entertainment,397,38593,4.83
Science & Technology,593,4874,4.91
Film & Animation,239,7451,4.65
Science & Technology,203,517743,4.69
Science & Technology,196,309097,4.61
Science & Technology,92,238887,3.28
Science & Technology,186,215939,4.62
Film & Animation,86,82268,3.19
Comedy,438,58262,3.44
Music,195,13060,4
Entertainment,73,15345,4.5
Comedy,111,9970,4.75
Entertainment,180,35995,4.76
Nonprofits & Activism,33,45741,4.53
News & Politics,183,17942,3.39
Music,235,13113,3.41
Comedy,165,84717,4.55
Science & Technology,43,7913,4.12
Education,33,216,0
Comedy,286,223,0
Pets & Animals,38,209,0
People & Blogs,70,201,0
Sports,180,212,0
Music,597,201,0
Education,47,209,0
Entertainment,191,225,0
Entertainment,201,207,0
Pets & Animals,47,201,0
Comedy,54,8,0
Sports,123,39,0
Music,124,30,0
Entertainment,169,16,0
Comedy,39,0,0
Travel & Events,6,0,0
Music,312,0,0
Music,186,0,0
Film & Animation,100,1,0
Entertainment,38,1,0
Comedy,52,10,0
Comedy,22,7,0
People & Blogs,266,3,0
Comedy,128,1,0
Sports,299,5,0
Sports,285,0,0
Music,57,8,0
Science & Technology,548,6,0
Music,579,0,0
Entertainment,16,31,0
Film & Animation,516,0,0
Comedy,15,6,0
Comedy,402,0,0
Entertainment,512,1,0
Entertainment,149,0,0
Travel & Events,168,4,0
Music,225,2,0
Film & Animation,262,5,5
Music,65,1,0
Music,131,0,0
Music,248,1,0
Entertainment,80,1,0
Entertainment,82,1,0
Comedy,231,0,0
Film & Animation,238,0,0
Entertainment,29,0,0
People & Blogs,495,0,0
Howto & Style,99,0,0
Entertainment,14,0,0
Entertainment,222,0,0
Comedy,101,1,0
People & Blogs,602,0,0
Music,313,1,0
Entertainment,207,0,0
Entertainment,495,0,0
Comedy,74,0,0
Music,242,0,0
Entertainment,140,26,0
Entertainment,589,0,0
Comedy,27,0,0
Travel & Events,114,0,0
Comedy,69,4,0
Music,215,0,0
Pets & Animals,272,6,0
Education,47,0,0
Entertainment,12,0,0
People & Blogs,27,0,0
Entertainment,192,0,0
Entertainment,57,0,0
Comedy,23,3,0
Travel & Events,73,1,0
Sports,185,0,0
Sports,183,5,5
Music,111,0,0
Entertainment,174,0,0
Entertainment,12,0,0
Entertainment,157,0,0
Autos & Vehicles,88,0,0
Entertainment,217,2,0
Comedy,31,0,0
Comedy,14,0,0
Sports,66,0,0
Music,103,0,0
Entertainment,227,3,0
Music,297,0,0
Comedy,15,0,0
People & Blogs,227,2,5
Music,365,0,0
Film & Animation,54,0,0
Entertainment,42,0,0
Entertainment,36,1,0
Entertainment,230,1,0
Comedy,16,5,0
People & Blogs,110,0,0
Sports,65,0,0
Pets & Animals,219,0,0
Entertainment,23,2,0
Comedy,162,345774,4.62
Entertainment,430,437045,4.85
Education,408,256035,4.86
Comedy,506,52138,4
Entertainment,423,113535,4.92
Entertainment,305,48460,4.84
Film & Animation,178,28733,4.45
Entertainment,408,123847,4.9
Entertainment,37,20305,4
Music,437,109990,4.84
 UNA ,153,17791,4.86
Comedy,94,7659,4.46
Sports,138,151365,4.67
Comedy,484,14548,4.11
Entertainment,269,83599,4.61
Entertainment,387,194384,4.59
People & Blogs,292,16670,4.51
Entertainment,157,105303,4.91
Howto & Style,121,411,4.78
Entertainment,239,621,4.88
News & Politics,96,488,2
Travel & Events,430,197326,4.76
Film & Animation,164,75516,3.71
Music,291,289805,4.58
News & Politics,267,1918,5
Film & Animation,651,417,5
Music,308,202019,4.64
News & Politics,301,198,5
Comedy,163,339400,4.3
Entertainment,90,295428,4.85
Entertainment,35,1614967,4.03
Howto & Style,212,168024,3.33
Sports,69,133751,4.75
Entertainment,33,125296,4.68
People & Blogs,383,94481,3.4
Music,273,87442,4.61
Entertainment,312,80715,4.47
Entertainment,61,746480,2.11
Music,246,669201,4.53
Comedy,70,788096,4.65
People & Blogs,58,501460,4.6
Entertainment,203,22492,4.85
Entertainment,499,25761,4.86
Entertainment,368,18850,4.87
Entertainment,67,1620,4.26
Entertainment,408,67249,4.9
Music,533,20100,4.78
Music,307,922,4.99
Music,264,800,5
Music,264,567,4.47
Entertainment,1344,76553,4.86
People & Blogs,90,178374,4.84
Entertainment,65,86876,4.72
Film & Animation,116,69353,4.71
Entertainment,348,35742,4.91
People & Blogs,435,65907,4.71
Entertainment,174,10731,4.81
Education,877,5861,4.73
People & Blogs,49,193155,1.75
People & Blogs,35,49300,1.44
Music,184,108971,4.59
Sports,155,29316,4.28
Entertainment,172,283462,4.62
Sports,67,35874,4.75
Music,237,371710,4.79
Entertainment,17,201,2.33
Pets & Animals,15,219,1
Music,535,210,5
News & Politics,40,221,1
Entertainment,46,210,0
 UNA ,25,219,2.25
Sports,58,205,1
Film & Animation,195,149,3.5
Entertainment,16,40,0
Entertainment,118,207,2
Comedy,167,121,1
People & Blogs,54,75,0
Travel & Events,42,88,0
Sports,89,222,2.83
Howto & Style,518,207,5
Entertainment,82,179,3
Entertainment,185,50,3
Entertainment,315,67,4
Entertainment,179,71,0
Comedy,141,79,0
Pets & Animals,15,118,0
Music,300,75,3
Film & Animation,24,22,0
Film & Animation,219,91,5
Entertainment,254,33,0
Comedy,229,39,0
People & Blogs,101,67,0
Sports,192,60,3.5
Music,255,30,0
Film & Animation,457,161,0
Entertainment,29,112,1
Entertainment,16,16,0
Music,248,34,0
Film & Animation,564,72,0
Music,349,42,5
Film & Animation,49,77,3
Entertainment,66,51,0
Entertainment,151,21,0
Music,83,110,5
Comedy,118,116,0
People & Blogs,86,29,0
Sports,24,38,0
Sports,583,49,0
Autos & Vehicles,4,73,5
Film & Animation,201,111,0
Education,9,83,0
Entertainment,50,41,0
Entertainment,46,211,1.5
Entertainment,193,50,0
Film & Animation,63,115,1.67
Education,4,49,0
Entertainment,188,93,5
Entertainment,462,205,1
People & Blogs,273,68,0
Music,17,48,0
Music,254,54,0
Music,359,62,0
Film & Animation,46,73,0
Entertainment,89,60,0
Entertainment,48,35,0
Comedy,72,83,4
Sports,10,40,0
Entertainment,6,43,0
Entertainment,16,53,0
Entertainment,198,34,0
Entertainment,23,54,0
Pets & Animals,96,137,0
Music,214,57,1
Pets & Animals,33,17,0
People & Blogs,73,54,3.33
People & Blogs,46,85,4.5
People & Blogs,267,44,0
People & Blogs,207,57,5
Entertainment,247,54,0
Comedy,268,78,0
Entertainment,334,112,0
Entertainment,530,36,0
Entertainment,87,203,2.5
Sports,100,25,0
Pets & Animals,172,50,0
Music,75,11,0
Music,15,41,0
Comedy,87,180,0
People & Blogs,541,72,1
Music,14,15,0
Music,147,101,4
Music,115,22,0
Autos & Vehicles,67,46,0
Science & Technology,151,25,0
Entertainment,62,78,0
Comedy,5,20,0
People & Blogs,600,18,0
Music,211,35,0
Film & Animation,5,218,1.5
News & Politics,100,107,0
Entertainment,629,359177,4.81
News & Politics,105,592580,4.07
Entertainment,484,242474,4.87
People & Blogs,216,32161,3.67
People & Blogs,57,2395,3.43
Sports,371,337778,4.54
People & Blogs,40,43313,3.85
Entertainment,114,40168,4.57
Comedy,313,15151,4.84
Howto & Style,32,1866,4.5
Comedy,323,17783,4.35
Entertainment,437,117284,4.82
Comedy,171,73353,4.8
People & Blogs,481,16038,4.57
People & Blogs,767,159405,4.74
Howto & Style,327,666,4.22
Entertainment,401,114874,4.71
Sports,422,192806,4.49
Comedy,227,51104,4.18
Entertainment,657,68377,4.88
News & Politics,225,505410,3.75
Entertainment,35,612,3.33
People & Blogs,84,35977,4.27
Film & Animation,481,240509,4.6
Music,182,93760,4.05
Entertainment,46,477,5
Music,199,362107,3.49
People & Blogs,120,312,2
Comedy,176,350787,3.46
News & Politics,222,935,4.98
Nonprofits & Activism,308,188,1.95
Film & Animation,1,6064,4.19
Entertainment,320,206716,4.59
News & Politics,186,461211,4.34
Music,143,424,5
News & Politics,38,383562,3.49
Sports,497,246853,4.6
Sports,59,213867,4.51
Entertainment,438,138966,4.82
Pets & Animals,228,144563,1.73
Sports,185,87440,4.74
Music,205,109318,4.78
Sports,370,77933,4.54
Sports,30,99682,4.71
News & Politics,23,180010,4.41
Entertainment,445,80427,4.8
Sports,406,56611,4.5
Sports,600,84480,4.5
Entertainment,464,701576,4.4
Music,236,423386,4.7
Entertainment,214,29804,4.92
Howto & Style,108,73231,4.29
Entertainment,147,850,4.98
Entertainment,147,37464,4.82
Entertainment,406,54208,4.72
Music,199,214930,4.74
Entertainment,276,49631,4.85
People & Blogs,388,11511,4.78
People & Blogs,780,9450,4.71
Comedy,150,13940,4.82
Comedy,209,9822,4.87
Comedy,193,16741,4.5
News & Politics,325,63393,4.78
Entertainment,863,209780,4.79
Howto & Style,320,200557,4.24
Music,230,295432,4.6
Music,397,15638,4.86
Entertainment,78,1804,5
Entertainment,211,130975,4.17
Music,319,22130,4.74
Music,242,48824,4.81
Sports,303,21814,4
News & Politics,119,22974,4.04
Sports,330,43058,4.2
Entertainment,32,87044,3.92
Music,264,15852,4.25
Entertainment,73,212,5
Comedy,5,187,0
Comedy,14,205,0
People & Blogs,105,184,5
People & Blogs,9,125,0
People & Blogs,29,223,0
Travel & Events,454,172,0
Sports,13,151,0
Music,260,143,0
Comedy,112,203,0
Autos & Vehicles,354,19,4
Comedy,61,4,0
Music,305,11,0
Music,53,17,0
Education,179,13,0
Pets & Animals,25,8,0
Entertainment,303,209,0
Entertainment,139,0,0
Sports,29,3,0
Travel & Events,283,0,0
Film & Animation,22,1,1
Education,378,0,0
Entertainment,83,13,0
People & Blogs,3,7,0
Sports,388,4,0
Pets & Animals,46,26,0
Music,25,0,0
People & Blogs,109,3,0
Entertainment,163,6,5
People & Blogs,78,0,0
Sports,117,2,0
Travel & Events,136,0,0
Autos & Vehicles,118,1,0
Entertainment,39,1,0
Comedy,554,0,0
Entertainment,243,0,0
Entertainment,41,1,0
Entertainment,70,0,0
Comedy,276,0,0
Film & Animation,88,0,0
Science & Technology,48,0,0
Entertainment,45,1,0
People & Blogs,57,1,0
Film & Animation,295,0,0
Comedy,57,0,0
Music,377,0,0
Music,236,0,0
Film & Animation,318,0,0
Entertainment,240,0,0
News & Politics,43,0,0
Autos & Vehicles,14,7,0
Music,41,1,0
Nonprofits & Activism,231,0,0
Entertainment,234,0,0
Comedy,394,0,0
Education,231,4,0
Entertainment,152,0,0
Music,7,0,0
Music,58,0,0
Pets & Animals,48,44,3
Entertainment,91,0,0
Film & Animation,40,1,0
Entertainment,180,13,2
Pets & Animals,16,16,0
Music,118,6,5
Autos & Vehicles,28,12,0
Film & Animation,190,2,0
Entertainment,148,6,0
Entertainment,33,3,0
Entertainment,127,0,0
People & Blogs,292,15,5
Sports,343,50,5
Music,254,2,0
Entertainment,122,5,0
Entertainment,460,8,0
Entertainment,204,0,0
Comedy,120,0,0
People & Blogs,158,3,0
People & Blogs,32,0,0
People & Blogs,91,0,0
Music,176,1,0
Music,216,0,0
Autos & Vehicles,10,0,0
Film & Animation,181,0,0
People & Blogs,24,0,0
Music,183,7,0
Music,329,0,0
Autos & Vehicles,54,6,0
News & Politics,16,0,0
Comedy,63,0,0
Music,145,4,0
Music,281,0,0
Comedy,605,1,0
Comedy,189,0,0
Comedy,415,24,5
Music,314,3,0
Music,256,2,0
Entertainment,132,230,1
People & Blogs,382,32,0
People & Blogs,62,73382,2.63
Music,56,297344,4.77
Entertainment,237,263012,4.38
Entertainment,111,3628,4.61
Entertainment,157,85770,4.31
Comedy,83,105013,4.92
Entertainment,156,122691,4.48
Entertainment,480,129305,4.81
News & Politics,85,1913,4.61
Entertainment,85,120383,4.29
Science & Technology,227,28068,4.34
Music,205,118271,4.9
Comedy,105,85475,4.69
Comedy,247,20880,4.93
Comedy,198,18863,4.86
Comedy,409,46822,4.9
News & Politics,251,488,5
Comedy,156,130766,4.87
Music,220,202959,4.67
Comedy,129,4502,4.66
Film & Animation,244,452481,4.47
News & Politics,430,413513,4.72
Howto & Style,218,339559,3.91
Music,158,406,5
News & Politics,151,34737,4.53
Film & Animation,618,182,4.67
Film & Animation,35,146102,4.41
Sports,91,2565,5
Entertainment,291,866,3.5
Music,64,247,5
Entertainment,85,237935,3.4
Comedy,79,278,4
People & Blogs,335,31298,4.16
Film & Animation,217,1052572,4.58
Entertainment,62,167052,4.86
Music,51,116835,3.98
Entertainment,139,76448,4.78
Entertainment,257,68386,4.59
People & Blogs,1266,72958,4.88
People & Blogs,453,76527,4.39
Music,31,102007,2.6
Film & Animation,300,53549,4.94
News & Politics,34,184282,1.77
People & Blogs,497,10478,4.91
Music,194,15019,4.85
Music,217,1561,4.97
Music,218,885,5
Music,260,1094,4
Music,248,1956,2.49
Music,278,798,4.42
Music,194,965,4.65
Music,211,684,3
Music,198,673,3
Music,138,719,4.99
Education,96,462699,4.83
Comedy,257,42967,4.83
Entertainment,57,119,5
Sports,59,133,4.99
Sports,59,1642,4.69
Comedy,330,22719,4.9
Comedy,61,18039,4.81
Sports,59,1579,4.55
Entertainment,312,50983,4.78
News & Politics,649,1067,4.73
People & Blogs,70,1780,3.77
News & Politics,585,291434,4.51
News & Politics,635,202092,4.23
Entertainment,641,79460,4.17
News & Politics,450,107603,4.29
Nonprofits & Activism,192,78579,4.21
News & Politics,216,116094,3.35
News & Politics,295,121511,4.04
Nonprofits & Activism,333,30654,4.74
Entertainment,32,242222,4.06
Comedy,534,1103,5
Music,144,6583,5
Film & Animation,493,5062,5
Music,207,28145,4.33
Science & Technology,345,25142,4.43
Entertainment,224,2812,5
Entertainment,57,2174,3.67
Entertainment,281,18539,4.77
Music,48,35479,4.53
Music,230,102035,4.65
Music,291,53969,4.86
Comedy,533,9843,4.86
Entertainment,130,19052,4.51
Music,167,80057,4.86
Music,214,6815,5
Entertainment,136,50970,4.68
Autos & Vehicles,118,220,0
News & Politics,148,233,4.5
Entertainment,57,204,0
Entertainment,8,210,0
People & Blogs,653,222,0
Music,110,206,0
News & Politics,32,214,0
Entertainment,130,206,0
People & Blogs,593,231,0
Autos & Vehicles,271,222,1
Entertainment,4,70,0
Entertainment,234,41,0
Music,206,36,0
Music,131,33,0
Comedy,131,36,0
Music,68,0,0
Travel & Events,55,1,0
People & Blogs,598,40,0
Entertainment,269,0,0
People & Blogs,158,10,0
Entertainment,331,0,0
Sports,86,0,0
Sports,110,0,0
Film & Animation,62,2,0
Entertainment,577,0,0
Music,289,0,0
Howto & Style,110,0,0
Music,51,0,0
Comedy,61,0,0
Music,187,0,0
Film & Animation,309,0,0
Entertainment,116,0,0
Comedy,114,0,0
People & Blogs,11,0,0
Education,130,0,0
Film & Animation,457,0,0
People & Blogs,52,0,0
People & Blogs,13,0,0
People & Blogs,17,0,0
Comedy,489,0,0
Film & Animation,367,0,0
Entertainment,235,5,5
Entertainment,10,0,0
Comedy,69,185,0
Music,201,1,0
Entertainment,273,6,0
Comedy,406,8,4
Entertainment,22,3,0
Music,176,0,0
Music,75,19,0
Travel & Events,57,1,0
Film & Animation,32,1,0
Film & Animation,205,10,0
Film & Animation,259,3,0
Entertainment,659,0,0
Entertainment,469,29,0
Comedy,122,8,0
Music,445,1,0
People & Blogs,55,13,0
News & Politics,525,3,0
Entertainment,237,57,4.75
People & Blogs,214,0,0
Travel & Events,162,12,0
Entertainment,82,5,0
Entertainment,443,0,0
Travel & Events,157,0,0
Sports,7,0,0
Autos & Vehicles,55,2,0
Sports,5,17,0
Pets & Animals,32,88,0
Film & Animation,22,0,0
Entertainment,31,83,0
News & Politics,248,0,0
Autos & Vehicles,20,0,0
Autos & Vehicles,48,7,0
Entertainment,67,7,0
Education,122,6,0
News & Politics,23,0,0
People & Blogs,25,5,0
Sports,414,1,0
Music,235,0,0
Comedy,523,4,0
People & Blogs,50,6,0
Travel & Events,444,7,0
Entertainment,33,221,0
People & Blogs,551,0,0
Music,601,9,0
News & Politics,267,4,0
People & Blogs,45,0,0
Music,180,6,0
Entertainment,29,6,0
Comedy,443,5,0
People & Blogs,115,0,0
Comedy,6,0,0
Comedy,96,6,0
Entertainment,265,0,0
People & Blogs,212,0,0
Music,224,8,0
Comedy,167,424216,4.66
Entertainment,202,14156,4.21
Travel & Events,200,61121,4.23
Entertainment,449,94851,4.82
Comedy,246,148636,4.75
Entertainment,259,175594,4.66
Entertainment,205,362555,4.37
News & Politics,455,230771,4.65
People & Blogs,797,447055,3.95
Entertainment,107,3423,4.43
News & Politics,6,113844,4.78
News & Politics,44,153209,4.77
Entertainment,497,58775,4.58
News & Politics,241,21512,4.52
Music,464,105998,4.89
Howto & Style,600,10833,4.98
Music,189,93129,4.38
People & Blogs,481,90238,3.78
News & Politics,1745,321370,4.69
People & Blogs,30,745253,2.84
Entertainment,222,4251,4.43
Education,242,138315,4.41
Entertainment,241,5058,5
Comedy,180,206,5
Comedy,179,345622,4.63
News & Politics,349,589,5
Science & Technology,315,529502,3.91
Entertainment,241,243324,2.76
Film & Animation,93,90085,4.36
Autos & Vehicles,30,354,3.5
Comedy,541,158,5
Music,143,200155,4.04
Comedy,132,146640,3.55
Entertainment,143,104247,4.1
Comedy,201,101589,3.84
Sports,77,86349,3.8
Sports,301,83677,4.76
News & Politics,1697,88536,4.72
People & Blogs,87,53737,1.49
Entertainment,213,66937,2.69
Comedy,190,79795,4.78
People & Blogs,85,842417,4.29
People & Blogs,30,649405,2.69
People & Blogs,30,434783,2.56
People & Blogs,30,374435,2.56
Entertainment,72,327679,3.42
Music,226,52642,4.9
Music,335,726,2.72
Music,255,535,4.29
Music,300,705,4.57
Music,221,704,4.7
Music,161,709,4.58
Music,242,622,4.59
Music,240,584,3.91
Music,195,618,4.58
Music,221,692,4.87
Music,205,634,4.58
Music,235,45748,4.91
Music,245,33143,4.82
Comedy,184,11532,4.83
Film & Animation,105,47207,4.8
Nonprofits & Activism,237,13315,4.68
Music,100,9887,4.72
Music,142,291364,3.8
People & Blogs,30,321227,2.57
People & Blogs,62,59495,4.66
Music,306,207418,4.79
News & Politics,84,74990,2.93
Entertainment,16,181025,2.45
Sports,44,9959,4.48
Sports,300,114991,4.63
Comedy,145,3341,4.31
People & Blogs,32,19612,3.57
Music,29,109025,4.17
Sports,79,18764,4.96
Music,237,54436,4.3
Education,86,76,0
Comedy,9,37,0
Comedy,403,57,0
People & Blogs,19,67,0
Pets & Animals,448,73,0
Music,133,72,0
Music,159,26,0
Entertainment,304,29,0
Entertainment,58,53,0
Sports,14,81,0
Music,136,0,0
Music,243,4,0
Film & Animation,590,0,0
People & Blogs,314,0,0
Sports,120,5,0
Music,198,11,0
Education,1,18,5
Entertainment,50,117,0
Entertainment,126,3,0
Sports,23,1,0
Music,194,4,0
Film & Animation,22,11,0
People & Blogs,294,4,0
News & Politics,138,0,0
Entertainment,57,0,0
Entertainment,21,0,0
Sports,22,3,0
Music,164,4,0
Autos & Vehicles,65,0,0
Education,208,13,0
Education,22,1,0
News & Politics,441,6,0
Comedy,16,7,0
Film & Animation,349,7,0
Film & Animation,278,5,0
People & Blogs,39,26,4.67
People & Blogs,565,13,0
Sports,93,15,0
Sports,30,0,0
News & Politics,92,4,0
Entertainment,39,0,0
Music,176,0,0
Music,227,0,0
Music,312,1,0
Autos & Vehicles,37,0,0
Entertainment,96,2,0
Music,129,0,0
Film & Animation,223,1,0
Entertainment,61,5,0
Entertainment,250,2,0
Music,192,2,0
Comedy,103,1,0
Pets & Animals,34,0,0
Entertainment,61,0,0
Entertainment,12,0,0
Entertainment,56,0,0
Entertainment,266,1,0
Comedy,298,1,0
Comedy,31,1,0
People & Blogs,2,2,0
Sports,239,0,0
Comedy,73,9,0
Science & Technology,39,0,0
Entertainment,70,15,0
Entertainment,432,0,0
Entertainment,83,1,0
People & Blogs,74,0,0
Sports,60,0,0
Science & Technology,607,2,0
Entertainment,172,0,0
Sports,14,0,0
Music,123,0,0
People & Blogs,182,6,0
People & Blogs,63,0,0
People & Blogs,445,0,0
Travel & Events,41,0,0
Sports,47,3,0
Film & Animation,56,0,0
Film & Animation,47,0,0
Entertainment,44,0,0
Entertainment,218,4,0
Entertainment,124,2,0
Travel & Events,7,1,0
Sports,7,2,0
Music,310,0,0
Education,467,0,0
Sports,55,0,0
Film & Animation,480,0,0
Entertainment,28,0,0
Pets & Animals,32,0,0
Music,251,0,0
Music,132,1,0
Music,146,0,0
Autos & Vehicles,262,0,0
Entertainment,46,0,0
Music,331,5,0
News & Politics,209,1,0
Entertainment,42,75,0
Entertainment,120,21704,4.58
People & Blogs,37,61075,3.07
Entertainment,779,223395,4.85
People & Blogs,410,450282,4.42
People & Blogs,72,235197,3.72
Nonprofits & Activism,266,54380,4.27
Travel & Events,94,2964,2.78
Entertainment,209,47501,3.63
Pets & Animals,236,160038,4.38
Entertainment,143,44832,2.2
Comedy,183,139124,4.11
People & Blogs,213,52851,4.79
People & Blogs,1371,13791,4.95
Sports,200,82098,4.71
Music,310,11078,4.91
Autos & Vehicles,77,1783,4.55
Comedy,98,11795,4.87
Howto & Style,239,2585,4.94
News & Politics,659,9247,3.56
Sports,152,42413,4.73
Entertainment,86,534691,4.13
 UNA ,95,510719,4.58
Entertainment,589,1164,0
Entertainment,91,1367,4.15
People & Blogs,313,485,3.21
Entertainment,66,1271,4.44
News & Politics,215,1813,4.17
Music,795,258,5
Entertainment,193,1459,3.25
Music,60,229,3.5
Comedy,184,73202,4.2
Entertainment,162,3092,4.13
Music,89,112,5
Entertainment,129,205,4.2
Entertainment,62,1862585,2.4
Comedy,138,1372,4.73
News & Politics,105,327368,3.05
Howto & Style,173,100067,1.15
News & Politics,261,181367,4.7
Sports,58,118294,1.19
Music,207,112687,4.11
People & Blogs,119,95244,2.63
Howto & Style,53,79826,3.62
Entertainment,593,65504,4.86
News & Politics,563,76678,4.35
Entertainment,643,61352,4.9
Autos & Vehicles,190,63203,4.76
Entertainment,614,59102,4.86
Entertainment,640,54681,4.85
Comedy,21,60884,4.67
Entertainment,399,29867,4.89
Entertainment,127,17828,4.81
Comedy,17,26882,4.79
Music,201,93282,4.4
Film & Animation,48,12436,4.97
Entertainment,263,12031,4.94
Music,252,19000,4.15
Entertainment,48,5298,5
Entertainment,48,7175,4.98
Entertainment,97,26997,4.85
Entertainment,250,8326,4.73
Entertainment,254,37453,4.83
Film & Animation,144,6146,4.82
People & Blogs,189,53482,4.63
Comedy,125,2649,4.86
Entertainment,22,49146,4.83
Entertainment,245,105357,4.92
Entertainment,63,238699,4.67
Film & Animation,56,35359,4.95
Entertainment,152,23706,4.95
Entertainment,264,35946,4.73
Science & Technology,600,6320,4.92
People & Blogs,311,10088,4.93
News & Politics,655,2319,4.3
News & Politics,659,5727,3.92
Science & Technology,380,4974,4.91
Education,133,6672,4.85
Comedy,426,6139,4.86
Entertainment,310,202838,4.67
